Location Code,Location,Vintage,Region,Wine Name,Grape/Blend,Quantity,Rating, Unit Purchase Price ,Type,Purchase Date,
TL1,Bar,2017,France,Domaine Lafage Bastide Miraflors Côtes du Roussillon,Syrah/Granache,1,, $14.25 ,Red,11/7/2020,
TL2,Bar,2017,Italy,Scaia Paradiso,Corvina/Rondinella/Cabernet,1,4, $19.00 ,Red,5/30/2020,
TL3,Bar,2016,Spain,Nubori Crianza Rioja,Tempranillo,1,4, $16.00 ,Red,11/23/2019,
TL3,Bar,2016,Spain,Cyan Toro,Tempranillo,1,, $16.50 ,Red,11/7/2020,
TL4,Bar,2016,California,Sterling,Merlot,1,4, $-   ,Red,,
AVIG,Crate,2019,New Zealand,Stratum,Pinot Noir,2,4, $-   ,Red,5/9/2020,
AVIG,Crate,2017,Spain,Senerio de Aldaz,Tempranillo,2,5, $10.00 ,Red,8/6/2020,
BREGA,Crate,2017,Spain,Senerio de Aldaz,Tempranillo,2,5, $10.00 ,Red,8/6/2020,
BREGA,Crate,2017,California,Game of Thrones,Red blend,1,, $23.00 ,Red,7/1/2020,
CUNA1,Crate,2015,Spain,Marques de Caceres Rioja,Tempranillo/Garnacha/Graciano,2,5, $11.00 ,Red,11/20/2019,
CUNA1,Crate,2018,France,Chateau Tertre,Bordeaux,2,, $9.17 ,Red,2/25/2021,
CUNA1,Crate,2017,Argentina,Empezar,Malbec/Cabernet/Petit Verdot,2,, $9.17 ,Red,2/25/2021,
CUNA2,Crate,2014,Australia,Wildberry Estate Two Passions,Cabernet,1,3, $-   ,Red,5/9/2020,
CUNA2,Crate,2017,Italy,Monte Tondo,Corvina,2,, $9.17 ,Red,2/25/2021,
CUNA2,Crate,2019,Italy,Ercole Barbera Del Monferrato,Barbera,1,4, $13.50 ,Red,11/7/2020,
CUNA2,Crate,2019,France,Maison la Berthaude Cotes du Rhone,Shiraz/Syrah/Grenache/Cinsault,1,, $13.50 ,Red,11/7/2020,
CUNA3,Crate,2014,Argentina,Famiglia Bianchi,Cabernet,2,4, $20.00 ,Red,7/1/2020,
CUNA3,Crate,2014,California,Clayhouse,Malbec,2,4, $18.00 ,Red,7/1/2020,
CUNA3,Crate,2017,Portugal,Charamba,Tinta Barroca/Tinta Roriz/Touriga,2,, $10.00 ,Red,9/30/2020,
